Date,1,2,3,4,5,6,7
2025-09-30,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000
2025-10-01,9927.704813,9969.493099,9988.239915,10088.328897,10031.296720,9989.862286,10029.452488
2025-10-02,9910.886149,9917.504611,10010.889795,10146.338766,10063.169183,10012.976207,10039.442547
2025-10-03,9884.021589,9927.718262,9986.680630,10155.950258,10062.955179,10079.673458,10079.492905
2025-10-06,9880.999181,9998.232051,9959.867388,10260.983518,10091.500886,10086.523751,10186.994932
2025-10-07,9880.999181,9998.232051,9959.867388,10260.983518,10091.500886,10086.523751,10186.994932
2025-10-08,9848.519021,10018.743995,10035.151239,10348.538447,10166.533193,10136.089828,10316.108083
2025-10-09,9793.478356,9949.150142,9980.870252,10344.752369,10084.894615,10067.763029,10185.116751
2025-10-10,9872.157529,9826.373181,9785.562254,9972.451031,9762.883086,9807.841438,10092.254348
2025-10-13,9772.691224,9904.977022,9904.884348,10123.769583,9876.493262,9968.215309,10337.489050
2025-10-14,9772.691224,9904.977022,9904.884348,10123.769583,9876.493262,9968.215309,10337.489050
2025-10-15,9684.486192,9975.921690,10074.621047,10175.629681,9873.069826,9986.208071,10497.109940
2025-10-16,9704.934634,9877.135402,10032.857793,10155.110733,9904.919930,9777.492868,10671.855706
2025-10-17,9712.537750,9902.109205,9888.106200,10150.563786,9906.962316,9829.578685,10519.374415
2025-10-20,9703.061696,9961.920534,9997.229676,10306.440862,9958.780821,9963.531916,10848.354997
2025-10-21,9703.061696,9961.920534,9997.229676,10306.440862,9958.780821,9963.531916,10848.354997
2025-10-22,9558.057233,9985.440840,10026.553315,10213.396063,9920.891104,9880.998035,10862.756890
2025-10-23,9584.441204,9997.849914,10099.118742,10329.209545,9952.535956,9955.325022,10894.644935
2025-10-24,9505.400185,9980.555319,10184.267982,10444.864205,10023.377336,9974.087167,10889.182106
2025-10-27,9447.559700,9992.185127,10207.095527,10599.554689,10111.220259,9976.869741,10733.597863
2025-10-28,9447.559700,9992.185127,10207.095527,10599.554689,10111.220259,9976.869741,10733.597863
2025-10-29,9533.603117,10028.750400,10262.377205,10698.644355,10119.435495,9811.489864,10715.838269
